Parent Path,File Name,Exists in Webb UI,MUI 5,Total Components,Includes Style Guide,Additional Details
ui/src/app/components/dms/ui/configuration/shared/custom-or-inherited-validated-text-field.tsx,custom-or-inherited-validated-text-field.tsx,"Box
FormLabel
Checkbox
CheckboxProps
FormControlLabel",,5,True,
ui/src/app/components/dms/ui/configuration/shared/ports/ports-select.tsx,ports-select.tsx,"Autocomplete
FormLabel
Checkbox",,3,True,
ui/src/app/components/dms/ui/configuration/shared/ports/ports-speed-select.tsx,ports-speed-select.tsx,"Box
FormLabel",,2,True,
ui/src/app/components/dms/ui/configuration/snmp/snmp-version-radio-group.tsx,snmp-version-radio-group.tsx,"Radio
Box
FormLabel","withStyles
RadioGroup",5,True,
ui/src/app/components/dms/ui/configuration/snmp/snmp-privacy-type-select.tsx,snmp-privacy-type-select.tsx,FormLabel,,1,True,
ui/src/app/components/dms/ui/configuration/snmp/snmp-v3-form.tsx,snmp-v3-form.tsx,"Box
FormLabel",,2,True,
ui/src/app/components/dms/ui/configuration/snmp/snmp-security-level-radio-group.tsx,snmp-security-level-radio-group.tsx,"Radio
Box
FormLabel
FormControlLabel",RadioGroup,5,True,
ui/src/app/components/dms/ui/configuration/snmp/snmp-auth-type-select.tsx,snmp-auth-type-select.tsx,FormLabel,,1,True,
ui/src/app/components/dms/ui/configuration/unmanaged/netconf-and-grpc.tsx,netconf-and-grpc.tsx,"Box
FormLabel",Grid,3,True,
ui/src/app/components/dms/ui/configuration/unmanaged/bgp-mitigation.tsx,bgp-mitigation.tsx,Box,Grid,2,False,
ui/src/app/components/dms/ui/configuration/unmanaged/snmp.tsx,snmp.tsx,,Grid,1,False,
ui/src/app/components/dms/ui/configuration/connectivity-options/interface-options-input.tsx,interface-options-input.tsx,"Radio
styled
Typography","Grid
RadioGroup",5,False,
ui/src/app/components/dms/ui/configuration/connectivity-options/connectivity-options.tsx,connectivity-options.tsx,,Grid,1,False,
ui/src/app/components/dms/ui/control-panel/control-panel-page.tsx,control-panel-page.tsx,Box,"Grid
makeStyles",3,True,
ui/src/app/components/dms/ui/control-panel/side-menu.tsx,side-menu.tsx,Box,makeStyles,2,True,
ui/src/app/components/dms/ui/control-panel/header.tsx,header.tsx,Box,makeStyles,2,True,
ui/src/app/components/dms/ui/control-panel/manage-device/factory-reset.tsx,factory-reset.tsx,,makeStyles,1,True,
ui/src/app/components/dms/ui/control-panel/manage-device/confirmation-modal.tsx,confirmation-modal.tsx,TextField,,1,False,
ui/src/app/components/dms/ui/control-panel/manage-device/process.tsx,process.tsx,,Grid,1,True,
ui/src/app/components/dms/ui/control-panel/manage-device/reboot.tsx,reboot.tsx,DnsIcon,,1,False,
ui/src/app/components/dms/ui/control-panel/manage-device/factory-reset-warning.tsx,factory-reset-warning.tsx,,makeStyles,1,True,
ui/src/app/components/dms/ui/control-panel/misc/reboot-banner.tsx,reboot-banner.tsx,"Box
blue","makeStyles
CircularProgress",4,True,
ui/src/app/components/dms/ui/control-panel/misc/configuration-layout.tsx,configuration-layout.tsx,,"makeStyles
Grid",2,True,
ui/src/app/components/dms/ui/control-panel/ace/genome-details.tsx,genome-details.tsx,"RestoreIcon
ReportProblemIcon",,2,False,
ui/src/app/components/dms/ui/control-panel/ace/status-details.tsx,status-details.tsx,,makeStyles,1,True,
ui/src/app/components/dms/ui/control-panel/troubleshooting/test-connection.tsx,test-connection.tsx,,makeStyles,1,True,
ui/src/app/components/dms/ui/control-panel/troubleshooting/test.tsx,test.tsx,,makeStyles,1,True,
ui/src/app/components/dms/ui/control-panel/troubleshooting/reset-confirmation-dialog.tsx,reset-confirmation-dialog.tsx,,"ListItem
List",2,False,
ui/src/app/components/dms/ui/control-panel/networking/table-section-global-toggle.tsx,table-section-global-toggle.tsx,Switch,,1,False,
ui/src/app/components/dms/ui/control-panel/networking/lags/lags-select.tsx,lags-select.tsx,"TextField
FormLabel
TextFieldProps
InputAdornment","MenuItem
CircularProgress",6,False,
ui/src/app/components/dms/ui/control-panel/networking/shared/cells/toggle.tsx,toggle.tsx,"SwitchProps
Switch
styled",,3,False,
ui/src/app/components/dms/ui/control-panel/networking/shared/cells/toggle-confirmation-modal.spec.jsx,toggle-confirmation-modal.spec.jsx,Switch,,1,False,
ui/src/app/components/dms/ui/shared/form-control-info-label.tsx,form-control-info-label.tsx,"Box
CheckboxProps
RadioProps
Typography
Theme
FormControlLabel
FormControlLabelProps as MUIFormControlLabelProps","grey
makeStyles",9,True,
ui/src/app/components/dms/ui/shared/form-control-info-label.spec.jsx,form-control-info-label.spec.jsx,"Switch
Radio",,2,False,
ui/src/app/components/dms/ui/status/toggle.tsx,toggle.tsx,Switch,,1,False,
ui/src/app/components/dms/ui/status/drawer.tsx,drawer.tsx,,withStyles,1,True,
ui/src/app/components/dms/ui/status/dms-table.tsx,dms-table.tsx,Box,withStyles,2,True,
ui/src/app/components/dms/ui/status/format-row.tsx,format-row.tsx,Box,,1,True,
ui/src/app/components/dms/ui/status/toggle-confirmation-modal.tsx,toggle-confirmation-modal.tsx,Box,,1,True,
ui/src/app/components/dms/ui/status/connector-accordion.tsx,connector-accordion.tsx,Box,,1,True,
ui/src/app/components/dms/ui/status/alerts/unmanaged-dms-notification.tsx,unmanaged-dms-notification.tsx,LockOutlined,,1,True,
ui/src/app/components/dms/ui/status/alerts/alert-details-dialog.tsx,alert-details-dialog.tsx,"DialogActions
OpenInNewIcon
DialogContent
Dialog
Typography",withStyles,6,True,
ui/src/app/components/dms/ui/status/alerts/alerts-table.tsx,alerts-table.tsx,Typography,withStyles,2,True,
ui/src/app/components/dms/ui/status/alerts/alerts-dialog-tabs/alert-summary-tab.tsx,alert-summary-tab.tsx,ErrorOutlineIcon,withStyles,2,True,
ui/src/app/components/dms/ui/status/alerts/filters/alerts-state-filter.tsx,alerts-state-filter.tsx,ArrowDropDownIcon,,1,False,
ui/src/app/components/dms/ui/status/alerts/filters/severity-filter.tsx,severity-filter.tsx,"FormControlLabel
FormGroup",,2,True,
ui/src/app/components/dms/ui/status/cells/filters-cell.tsx,filters-cell.tsx,Typography,,1,False,
ui/src/app/components/dms/ui/status/cells/details-cell.tsx,details-cell.tsx,"Box
Typography
LockOutlined",withStyles,4,True,
ui/src/app/components/dms/ui/status/cells/interface-cell.tsx,interface-cell.tsx,Typography,,1,False,
ui/src/app/components/dms/ui/status/actions-menu/actions-menu.tsx,actions-menu.tsx,MenuItemProps,MenuItem,2,True,
ui/src/app/components/dms/ui/status/actions-menu/delete-dms-confirmation-modal.tsx,delete-dms-confirmation-modal.tsx,Box,,1,True,
ui/src/app/components/dms/data/use-dms-networking-notifications.tsx,use-dms-networking-notifications.tsx,Typography,,1,False,
ui/src/app/components/subscriber/aaa-ingest-card.jsx,aaa-ingest-card.jsx,"Typography
CardActions
ChevronRight",,3,True,
ui/src/app/components/subscriber/shared.jsx,shared.jsx,"MUICardContent
MUICard
Paper",grey,4,False,
ui/src/app/components/subscriber/download-analysis.jsx,download-analysis.jsx,"DownloadIcon
FolderIcon",,2,True,
ui/src/app/components/subscriber/subscriber-boundary-card.jsx,subscriber-boundary-card.jsx,"Typography
CardActions
ChevronRight",Skeleton,4,True,
ui/src/app/components/subscriber/bin-configuration.jsx,bin-configuration.jsx,Typography,,1,True,
ui/src/app/components/subscriber/cidr-range-add-input.jsx,cidr-range-add-input.jsx,AddIcon,,1,True,
